"Resultat","Kon","Alder","Utbildare"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
TRUE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
TRUE,"Man",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
TRUE,"Kvinna",18,"Privatist"
TRUE,"Man",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Privatist"
FALSE,"Kvinna",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
FALSE,"Kvinna",18,"Trafikskola"
FALSE,"Man",18,"Trafikskola"
TRUE,"Man",18,"Trafikskola"
